,,,hypothèses,Durée de placement,12 mois,,,,,,,,,
,,,,Durée en jrs,365 jours,,,,,,,,,
,,,,Taux annuel,4.50%,,,,,,,,,
,,,,Cotisation,"45,000",,,,,,,,,
,,,,Date de début,1/1/2025,,,,,,,,,
,,,,Date de fin,12/31/2025,,,,,,,,,
,,,,,,,,,,,,,,
,Versements,01 January 2025,01 February 2025,01 March 2025,01 April 2025,01 May 2025,01 June 2025,01 July 2025,01 August 2025,01 September 2025,01 October 2025,01 November 2025,31 December 2025,VL
,Taux équivalents,4.500%,4.118%,3.773%,3.390%,3.021%,2.638%,2.268%,1.886%,1.504%,1.134%,0.752%,0.012%,
,"Durée restante
en jours", 365.00 , 334.00 , 306.00 , 275.00 , 245.00 , 214.00 , 184.00 , 153.00 , 122.00 , 92.00 , 61.00 , 1.00 ,
,1,"45,000",,,,,,,,,,,,"47,025 "
,2,,"45,000",,,,,,,,,,,"46,853 "
,3,,,"45,000",,,,,,,,,,"46,698 "
,4,,,,"45,000",,,,,,,,,"46,526 "
,5,,,,,"45,000",,,,,,,,"46,359 "
,6,,,,,,"45,000",,,,,,,"46,187 "
,7,,,,,,,"45,000",,,,,,"46,021 "
,8,,,,,,,,"45,000",,,,,"45,849 "
,9,,,,,,,,,"45,000",,,,"45,677 "
,10,,,,,,,,,,"45,000",,,"45,510 "
,11,,,,,,,,,,,"45,000",,"45,338 "
,12,,,,,,,,,,,,"45,000","45,006 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,Total déposé,"540,000"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,ROI réél,"553,049"
,,,,,,,,,,,,,Rendement réél,2.42%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,ROI Simul initial,"564,300"
,,,,,,,,,,,,,Rendement réél,4.50%
